EU COUNTRIES,TOTAL IMMIGRANTS(IN THOUSANDS),IMMIGRANTS WITH NATIONALITY(THOUSANDS),IMMIGRANTS WITH NATIONALITY(%age),NON-NATIONAL IMMIGRANTS (THOUSANDS),NON-NATIONAL IMMIGRANTS (%age),NON_NATIONAL IMMIGRANTS FROM OTHER EU MEMBER STATES(THOUSANDS),NON_NATIONAL IMMIGRANTS FROM OTHER EU MEMBER STATES(%age),NON_NATIONAL IMMIGRANTS FROM NON-EU STATES(THOUSANDS),NON_NATIONAL IMMIGRANTS FROM NON-EU STATES(%age),STATELESS IMMIGRANTS(THOUSANDS),STATELESS IMMIGRANTS(%age),NUMBER OF IMMIGRANTS(PER THOUSAND INHABITANTS),DISTRIBUTION OF IMMIGRANTS IN %AGE (NATIONALS),DISTRIBUTION OF IMMIGRANTS IN %AGE (NON-NATIONALS),DISTRIBUTION OF IMMIGRANTS IN %AGE(UNKNOWN),PERCENTAGE OF IMMIGRANTS BY SEX(MALE),PERCENTAGE OF IMMIGRANTS BY SEX(FEMALE),%AGE OF NON-NATIONAL IMMIGRANTS IN TOTAL POPULATION(CITIZENS OF EU MEMBER STATES),%AGE OF NON-NATIONAL IMMIGRANTS IN TOTAL POPULATION(CITIZENS OF NON-EU COUNTRIES),%AGE OF FOREIGN BORN IMMIGRANTS BY TOTAL POPULATION,%AGE OF BORN IN ANOTHER EU-MEMBER STATES,%AGE OF BORN IN NON-EU COUNTRY
Luxembourg,25.3,1.6,6.2,23.7,93.6,15.7,62.0,8.0,31.5,0.0,0.1,39.6,6.2,93.6,0.2,54.0,46.0,38.1,9.0,49.4 ,33.8 ,15.6 
Malta ,18.1,2.8,15.3,15.4,84.7,7.0,38.7,8.3,46.0,0.0,0.0,35.0,15.3,84.7,0.0,61.4,38.6,8.6,12.0,23.6 ,7.9 ,15.7 
Netherlands,214.1,40.2,18.8,173.3,80.9,89.8,42.0,82.7,38.6,0.7,0.3,12.2,18.8,80.9,0.3,51.8,48.2,3.7,3.3,14.5 ,4.0 ,10.5 
Norway,53.9,7.3,13.6,46.6,86.4,26.6,49.3,19.9,36.9,0.1,0.2,10.0,13.6,86.4,0.0,54.4,45.6,6.7,4.1,16.7 ,6.7 ,10.1 
Poland,241.1,43.4,18.0,197.7,82.0,80.4,33.3,117.3,48.6,0.0,0.0,6.4,18.0,82.0,0.0,61.8,38.2,0.1,1.1,2.5 ,0.6 ,1.9 
Portugal,50.7,38.2,75.3,12.5,24.7,3.2,6.3,9.4,18.5,0.0,0.0,4.9,75.3,24.7,0.0,50.9,49.1,1.6,5.1,11.6 ,2.8 ,8.8 
Romania,194.6,149.5,76.8,45.0,23.1,9.9,5.1,35.2,18.1,0.0,0.0,10.2,76.8,23.1,0.0,58.5,41.5,0.1,0.1,1.7 ,1.0 ,0.7 
Slovakia,5.7,3.7,65.1,2.0,34.9,1.5,26.6,0.5,8.3,0.0,0.0,1.1,65.1,34.9,0.0,52.3,47.7,0.7,0.4,3.9 ,2.9 ,1.0 
Slovenia,23.6,4.0,16.8,19.7,83.2,2.7,11.4,17.0,71.8,0.0,0.0,11.2,16.8,83.2,0.0,61.2,38.8,1.0,7.2,14.0 ,3.0 ,11.0 
Spain,528.9,72.3,13.7,456.6,86.3,110.2,20.8,346.0,65.4,0.4,0.1,11.2,13.7,86.3,0.0,51.6,48.4,3.7,7.7,15.5 ,3.5 ,12.0 
Sweden,90.6,16.0,17.7,74.4,82.1,22.9,25.3,51.1,56.4,0.4,0.4,8.7,17.7,82.1,0.3,51.3,48.7,2.9,5.3,20.0 ,5.1 ,14.9 
Switzerland,144.9,22.1,15.3,122.7,84.7,83.7,57.7,39.1,27.0,0.0,0.0,16.6,15.3,84.7,0.0,52.9,47.1,16.4,9.2,29.7 ,16.4 ,13.3 
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
