,Country,Year,Indicator:Maternal mortality ratio (per 100 000 live births),Type_of_Medicine,Measure,Total_Sales_Value
97,Australia,2016,6,C-Cardiovascular system,"/capita, US$ purchasing power parity",53.0
98,Australia,2016,6,C-Cardiovascular system,"Million US$, purchasing power parity",1282.6
99,Australia,2016,6,C-Cardiovascular system,Million US$ at exchange rate,1382.7
100,Australia,2016,6,C-Cardiovascular system,"/capita, US$ exchange rate",57.2
101,Australia,2016,6,J-Antiinfectives for systemic use,"/capita, US$ exchange rate",105.2
102,Australia,2016,6,J01-Antibacterials for systemic use,"Million US$, purchasing power parity",270.3
103,Australia,2016,6,J01-Antibacterials for systemic use,Million US$ at exchange rate,291.4
104,Australia,2016,6,J01-Antibacterials for systemic use,"/capita, US$ exchange rate",12.0
105,Australia,2016,6,J-Antiinfectives for systemic use,"/capita, US$ purchasing power parity",97.5
106,Australia,2016,6,J01-Antibacterials for systemic use,Million of national currency units,392.0
107,Australia,2016,6,J-Antiinfectives for systemic use,% of total sales,22.4
108,Australia,2016,6,C01A-Cardiac glycosides,"Million US$, purchasing power parity",3.4
109,Australia,2016,6,C01A-Cardiac glycosides,"/capita, US$ exchange rate",0.2
110,Australia,2016,6,"C01B-Antiarrhythmics, Class I and III",Million US$ at exchange rate,14.9
111,Australia,2016,6,"C01B-Antiarrhythmics, Class I and III","Million US$, purchasing power parity",13.8
112,Australia,2016,6,C01A-Cardiac glycosides,"/capita, US$ purchasing power parity",0.1
113,Australia,2016,6,"C01B-Antiarrhythmics, Class I and III","/capita, US$ exchange rate",0.6
114,Australia,2016,6,A10-Drugs used in diabetes,"/capita, US$ purchasing power parity",18.5
115,Australia,2016,6,C01A-Cardiac glycosides,% of total sales,0.0
116,Australia,2016,6,C03-Diuretics,Million of national currency units,46.0
117,Australia,2016,6,C03-Diuretics,Million US$ at exchange rate,34.2
118,Australia,2016,6,C02-Antihypertensives,"/capita, US$ exchange rate",3.0
119,Australia,2016,6,C02-Antihypertensives,"/capita, US$ purchasing power parity",2.8
120,Australia,2016,6,C01A-Cardiac glycosides,Million of national currency units,5.0
121,Australia,2016,6,C01A-Cardiac glycosides,Million US$ at exchange rate,3.7
122,Australia,2016,6,"C01B-Antiarrhythmics, Class I and III",Million of national currency units,20.0
123,Australia,2016,6,C02-Antihypertensives,% of total sales,0.6
124,Australia,2016,6,A10-Drugs used in diabetes,"/capita, US$ exchange rate",19.9
125,Australia,2016,6,A10-Drugs used in diabetes,"Million US$, purchasing power parity",446.8
126,Australia,2016,6,"C01B-Antiarrhythmics, Class I and III","/capita, US$ purchasing power parity",0.6
127,Australia,2016,6,N-Nervous system,Million US$ at exchange rate,1411.7
128,Australia,2016,6,N-Nervous system,"Million US$, purchasing power parity",1309.5
129,Australia,2016,6,N05C-Hypnotics and sedatives,Million US$ at exchange rate,20.8
130,Australia,2016,6,N05C-Hypnotics and sedatives,Million of national currency units,28.0
131,Australia,2016,6,N-Nervous system,Million of national currency units,1899.0
132,Australia,2016,6,N05B-Anxiolytics,% of total sales,0.3
133,Australia,2016,6,A10-Drugs used in diabetes,% of total sales,4.2
134,Australia,2016,6,N05B-Anxiolytics,Million of national currency units,45.0
135,Australia,2016,6,N05B-Anxiolytics,"/capita, US$ purchasing power parity",1.3
136,Australia,2016,6,N-Nervous system,"/capita, US$ purchasing power parity",54.1
137,Australia,2016,6,N-Nervous system,"/capita, US$ exchange rate",58.4
138,Australia,2016,6,N-Nervous system,% of total sales,12.4
139,Australia,2016,6,"C01B-Antiarrhythmics, Class I and III",% of total sales,0.1
140,Australia,2016,6,N05C-Hypnotics and sedatives,"/capita, US$ exchange rate",0.9
141,Australia,2016,6,N05C-Hypnotics and sedatives,"Million US$, purchasing power parity",19.3
142,Australia,2016,6,N05C-Hypnotics and sedatives,"/capita, US$ purchasing power parity",0.8
143,Australia,2016,6,N05C-Hypnotics and sedatives,% of total sales,0.2
144,Australia,2016,6,Total pharmaceutical sales,"/capita, US$ purchasing power parity",436.3
145,Australia,2016,6,N06A-Antidepressants,Million of national currency units,441.0
146,Australia,2016,6,Total pharmaceutical sales,"Million US$, purchasing power parity",10554.0
147,Australia,2016,6,Total pharmaceutical sales,"/capita, US$ exchange rate",470.3
148,Australia,2016,6,M01A-Antiinflammatory and antirheumatic products non-steroids,"Million US$, purchasing power parity",79.3
149,Australia,2016,6,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ exchange rate",3.5
150,Australia,2016,6,M01A-Antiinflammatory and antirheumatic products non-steroids,Million of national currency units,115.0
151,Australia,2016,6,M01A-Antiinflammatory and antirheumatic products non-steroids,Million US$ at exchange rate,85.5
152,Australia,2016,6,Total pharmaceutical sales,Million of national currency units,15305.0
153,Australia,2016,6,Total pharmaceutical sales,Million US$ at exchange rate,11377.4
154,Australia,2016,6,A10-Drugs used in diabetes,Million of national currency units,648.0
155,Australia,2016,6,N05B-Anxiolytics,Million US$ at exchange rate,33.5
156,Australia,2016,6,N06A-Antidepressants,"/capita, US$ exchange rate",13.6
157,Australia,2016,6,N06A-Antidepressants,"Million US$, purchasing power parity",304.1
158,Australia,2016,6,N06A-Antidepressants,Million US$ at exchange rate,327.8
159,Australia,2016,6,N06A-Antidepressants,% of total sales,2.9
160,Australia,2016,6,N06A-Antidepressants,"/capita, US$ purchasing power parity",12.6
161,Australia,2016,6,N05B-Anxiolytics,"/capita, US$ exchange rate",1.4
162,Australia,2016,6,C03-Diuretics,% of total sales,0.3
163,Australia,2016,6,M01A-Antiinflammatory and antirheumatic products non-steroids,% of total sales,0.8
164,Australia,2016,6,A10-Drugs used in diabetes,Million US$ at exchange rate,481.7
165,Australia,2016,6,C03-Diuretics,"/capita, US$ exchange rate",1.4
166,Australia,2016,6,C03-Diuretics,"Million US$, purchasing power parity",31.7
167,Australia,2016,6,C03-Diuretics,"/capita, US$ purchasing power parity",1.3
168,Australia,2016,6,C02-Antihypertensives,Million of national currency units,98.0
169,Australia,2016,6,N02-Analgesics,"Million US$, purchasing power parity",342.7
170,Australia,2016,6,N02-Analgesics,"/capita, US$ exchange rate",15.3
171,Australia,2016,6,N02-Analgesics,Million US$ at exchange rate,369.5
172,Australia,2016,6,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ purchasing power parity",3.3
173,Australia,2016,6,N02-Analgesics,Million of national currency units,497.0
174,Australia,2016,6,C02-Antihypertensives,Million US$ at exchange rate,72.9
175,Australia,2016,6,C02-Antihypertensives,"Million US$, purchasing power parity",67.6
176,Australia,2016,6,N05B-Anxiolytics,"Million US$, purchasing power parity",31.0
177,Australia,2016,6,N02-Analgesics,"/capita, US$ purchasing power parity",14.2
178,Australia,2016,6,N02-Analgesics,% of total sales,3.2
179,Australia,2015,6,B-Blood and blood forming organs,Million of national currency units,617.0
180,Australia,2015,6,M-Musculo-skeletal system,Million of national currency units,401.0
181,Australia,2015,6,M-Musculo-skeletal system,Million US$ at exchange rate,301.3
182,Australia,2015,6,R03-Drugs for obstructive airway diseases,Million of national currency units,618.0
183,Australia,2015,6,R03-Drugs for obstructive airway diseases,Million US$ at exchange rate,464.3
184,Australia,2015,6,B-Blood and blood forming organs,Million US$ at exchange rate,463.5
185,Australia,2015,6,B-Blood and blood forming organs,"Million US$, purchasing power parity",418.7
186,Australia,2015,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million US$ at exchange rate,369.6
187,Australia,2015,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"Million US$, purchasing power parity",333.9
188,Australia,2015,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ exchange rate",15.5
189,Australia,2015,6,M-Musculo-skeletal system,"/capita, US$ exchange rate",12.6
190,Australia,2015,6,M-Musculo-skeletal system,"Million US$, purchasing power parity",272.1
191,Australia,2015,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million of national currency units,492.0
192,Australia,2015,6,M-Musculo-skeletal system,"/capita, US$ purchasing power parity",11.4
193,Australia,2015,6,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ purchasing power parity",19.3
194,Australia,2015,6,C09-Agents acting on the Renin-Angiotensin system,% of total sales,5.5
195,Australia,2015,6,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ exchange rate",21.4
196,Australia,2015,6,B-Blood and blood forming organs,% of total sales,5.0
197,Australia,2015,6,B-Blood and blood forming organs,"/capita, US$ purchasing power parity",17.6
198,Australia,2015,6,B-Blood and blood forming organs,"/capita, US$ exchange rate",19.5
199,Australia,2015,6,C09-Agents acting on the Renin-Angiotensin system,"Million US$, purchasing power parity",460.7
200,Australia,2015,6,R03-Drugs for obstructive airway diseases,"/capita, US$ exchange rate",19.5
201,Australia,2015,6,R03-Drugs for obstructive airway diseases,"/capita, US$ purchasing power parity",17.6
202,Australia,2015,6,R03-Drugs for obstructive airway diseases,"Million US$, purchasing power parity",419.4
203,Australia,2015,6,C09-Agents acting on the Renin-Angiotensin system,Million US$ at exchange rate,510.1
204,Australia,2015,6,R03-Drugs for obstructive airway diseases,% of total sales,5.0
205,Australia,2015,6,C09-Agents acting on the Renin-Angiotensin system,Million of national currency units,679.0
206,Australia,2015,6,R-Respiratory system,"/capita, US$ exchange rate",22.0
207,Australia,2015,6,R-Respiratory system,"Million US$, purchasing power parity",473.0
208,Australia,2015,6,R-Respiratory system,Million US$ at exchange rate,523.6
209,Australia,2015,6,C08-Calcium channel blockers,Million of national currency units,124.0
210,Australia,2015,6,R-Respiratory system,"/capita, US$ purchasing power parity",19.9
211,Australia,2015,6,R-Respiratory system,% of total sales,5.7
212,Australia,2015,6,C07-Beta blocking agents,"Million US$, purchasing power parity",97.7
213,Australia,2015,6,C07-Beta blocking agents,Million of national currency units,144.0
214,Australia,2015,6,C07-Beta blocking agents,Million US$ at exchange rate,108.2
215,Australia,2015,6,C07-Beta blocking agents,"/capita, US$ exchange rate",4.5
216,Australia,2015,6,C07-Beta blocking agents,% of total sales,1.2
217,Australia,2015,6,R-Respiratory system,Million of national currency units,697.0
218,Australia,2015,6,C07-Beta blocking agents,"/capita, US$ purchasing power parity",4.1
219,Australia,2015,6,A-Alimentary tract and metabolism,"/capita, US$ exchange rate",42.7
220,Australia,2015,6,A-Alimentary tract and metabolism,"/capita, US$ purchasing power parity",38.5
221,Australia,2015,6,A-Alimentary tract and metabolism,Million US$ at exchange rate,1016.5
222,Australia,2015,6,A-Alimentary tract and metabolism,"Million US$, purchasing power parity",918.1
223,Australia,2015,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),% of total sales,4.0
224,Australia,2015,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ purchasing power parity",14.0
225,Australia,2015,6,A-Alimentary tract and metabolism,% of total sales,11.0
226,Australia,2015,6,C08-Calcium channel blockers,"/capita, US$ exchange rate",3.9
227,Australia,2015,6,C08-Calcium channel blockers,"/capita, US$ purchasing power parity",3.5
228,Australia,2015,6,C08-Calcium channel blockers,Million US$ at exchange rate,93.2
229,Australia,2015,6,C08-Calcium channel blockers,"Million US$, purchasing power parity",84.1
230,Australia,2015,6,A-Alimentary tract and metabolism,Million of national currency units,1353.0
231,Australia,2015,6,C08-Calcium channel blockers,% of total sales,1.0
232,Australia,2015,6,A02A-Antacids,% of total sales,0.0
233,Australia,2015,6,G-Genito urinary system and sex hormones,% of total sales,2.4
234,Australia,2015,6,G-Genito urinary system and sex hormones,"/capita, US$ purchasing power parity",8.5
235,Australia,2015,6,A02A-Antacids,"Million US$, purchasing power parity",1.4
236,Australia,2015,6,A02A-Antacids,"/capita, US$ purchasing power parity",0.1
237,Australia,2015,6,A02A-Antacids,"/capita, US$ exchange rate",0.1
238,Australia,2015,6,A02A-Antacids,Million US$ at exchange rate,1.5
239,Australia,2015,6,J-Antiinfectives for systemic use,Million of national currency units,822.0
240,Australia,2015,6,C-Cardiovascular system,Million of national currency units,1992.0
241,Australia,2015,6,J-Antiinfectives for systemic use,Million US$ at exchange rate,617.5
242,Australia,2015,6,G-Genito urinary system and sex hormones,Million of national currency units,298.0
243,Australia,2015,6,G-Genito urinary system and sex hormones,"Million US$, purchasing power parity",202.2
244,Australia,2015,6,G-Genito urinary system and sex hormones,"/capita, US$ exchange rate",9.4
245,Australia,2015,6,G-Genito urinary system and sex hormones,Million US$ at exchange rate,223.9
246,Australia,2015,6,G03-Sex hormones and modulators of the genital system,"Million US$, purchasing power parity",149.3
247,Australia,2015,6,G03-Sex hormones and modulators of the genital system,"/capita, US$ exchange rate",6.9
248,Australia,2015,6,G03-Sex hormones and modulators of the genital system,Million US$ at exchange rate,165.3
249,Australia,2015,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million of national currency units,191.0
250,Australia,2015,6,G03-Sex hormones and modulators of the genital system,% of total sales,1.8
251,Australia,2015,6,G03-Sex hormones and modulators of the genital system,"/capita, US$ purchasing power parity",6.3
252,Australia,2015,6,G03-Sex hormones and modulators of the genital system,Million of national currency units,220.0
253,Australia,2015,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins",% of total sales,1.6
254,Australia,2015,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ purchasing power parity",5.4
255,Australia,2015,6,A02A-Antacids,Million of national currency units,2.0
256,Australia,2015,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million US$ at exchange rate,143.5
257,Australia,2015,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ exchange rate",6.0
258,Australia,2015,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins","Million US$, purchasing power parity",129.6
259,Australia,2015,6,C10-Lipid modifying agents,"/capita, US$ purchasing power parity",23.4
260,Australia,2015,6,C10-Lipid modifying agents,"/capita, US$ exchange rate",25.9
261,Australia,2015,6,C10-Lipid modifying agents,"Million US$, purchasing power parity",556.4
262,Australia,2015,6,J01-Antibacterials for systemic use,% of total sales,3.0
263,Australia,2015,6,C10-Lipid modifying agents,% of total sales,6.7
264,Australia,2015,6,Products not elsewhere classified,% of total sales,32.5
265,Australia,2015,6,Products not elsewhere classified,"Million US$, purchasing power parity",2705.5
266,Australia,2015,6,Products not elsewhere classified,Million of national currency units,3987.0
267,Australia,2015,6,Products not elsewhere classified,Million US$ at exchange rate,2995.3
268,Australia,2015,6,Products not elsewhere classified,"/capita, US$ exchange rate",125.8
269,Australia,2015,6,C10-Lipid modifying agents,Million of national currency units,820.0
270,Australia,2015,6,C10-Lipid modifying agents,Million US$ at exchange rate,616.0
271,Australia,2015,6,Products not elsewhere classified,"/capita, US$ purchasing power parity",113.6
272,Australia,2015,6,J01-Antibacterials for systemic use,"/capita, US$ purchasing power parity",10.3
273,Australia,2015,6,C-Cardiovascular system,% of total sales,16.2
274,Australia,2015,6,J-Antiinfectives for systemic use,"Million US$, purchasing power parity",557.8
275,Australia,2015,6,C-Cardiovascular system,"/capita, US$ purchasing power parity",56.8
276,Australia,2015,6,C-Cardiovascular system,"Million US$, purchasing power parity",1351.7
277,Australia,2015,6,C-Cardiovascular system,Million US$ at exchange rate,1496.5
278,Australia,2015,6,C-Cardiovascular system,"/capita, US$ exchange rate",62.8
279,Australia,2015,6,J-Antiinfectives for systemic use,"/capita, US$ exchange rate",25.9
280,Australia,2015,6,J01-Antibacterials for systemic use,"Million US$, purchasing power parity",246.3
281,Australia,2015,6,J01-Antibacterials for systemic use,Million US$ at exchange rate,272.7
282,Australia,2015,6,J01-Antibacterials for systemic use,"/capita, US$ exchange rate",11.5
283,Australia,2015,6,J-Antiinfectives for systemic use,"/capita, US$ purchasing power parity",23.4
284,Australia,2015,6,J01-Antibacterials for systemic use,Million of national currency units,363.0
285,Australia,2015,6,J-Antiinfectives for systemic use,% of total sales,6.7
286,Australia,2015,6,M-Musculo-skeletal system,% of total sales,3.3
287,Australia,2015,6,C01A-Cardiac glycosides,"/capita, US$ exchange rate",0.2
288,Australia,2015,6,C01A-Cardiac glycosides,"Million US$, purchasing power parity",3.4
289,Australia,2015,6,"C01B-Antiarrhythmics, Class I and III",Million US$ at exchange rate,14.3
290,Australia,2015,6,"C01B-Antiarrhythmics, Class I and III","Million US$, purchasing power parity",12.9
291,Australia,2015,6,C01A-Cardiac glycosides,"/capita, US$ purchasing power parity",0.1
292,Australia,2015,6,"C01B-Antiarrhythmics, Class I and III","/capita, US$ exchange rate",0.6
293,Australia,2015,6,A10-Drugs used in diabetes,"/capita, US$ purchasing power parity",17.6
294,Australia,2015,6,C01A-Cardiac glycosides,% of total sales,0.0
295,Australia,2015,6,C03-Diuretics,Million of national currency units,43.0
296,Australia,2015,6,C03-Diuretics,Million US$ at exchange rate,32.3
297,Australia,2015,6,A10-Drugs used in diabetes,"/capita, US$ exchange rate",19.5
298,Australia,2015,6,C02-Antihypertensives,"/capita, US$ exchange rate",2.9
299,Australia,2015,6,C02-Antihypertensives,"/capita, US$ purchasing power parity",2.6
300,Australia,2015,6,C01A-Cardiac glycosides,Million US$ at exchange rate,3.8
301,Australia,2015,6,"C01B-Antiarrhythmics, Class I and III",Million of national currency units,19.0
302,Australia,2015,6,C01A-Cardiac glycosides,Million of national currency units,5.0
303,Australia,2015,6,"C01B-Antiarrhythmics, Class I and III","/capita, US$ purchasing power parity",0.5
304,Australia,2015,6,C02-Antihypertensives,% of total sales,0.7
305,Australia,2015,6,N-Nervous system,"Million US$, purchasing power parity",1306.9
306,Australia,2015,6,N-Nervous system,Million US$ at exchange rate,1446.9
307,Australia,2015,6,N05C-Hypnotics and sedatives,Million US$ at exchange rate,18.0
308,Australia,2015,6,N05C-Hypnotics and sedatives,Million of national currency units,24.0
309,Australia,2015,6,N-Nervous system,Million of national currency units,1926.0
310,Australia,2015,6,N05B-Anxiolytics,% of total sales,0.3
311,Australia,2015,6,A10-Drugs used in diabetes,% of total sales,5.0
312,Australia,2015,6,N05B-Anxiolytics,Million of national currency units,39.0
313,Australia,2015,6,N05B-Anxiolytics,"/capita, US$ purchasing power parity",1.1
314,Australia,2015,6,N-Nervous system,"/capita, US$ purchasing power parity",54.9
315,Australia,2015,6,N-Nervous system,% of total sales,15.7
316,Australia,2015,6,"C01B-Antiarrhythmics, Class I and III",% of total sales,0.2
317,Australia,2015,6,N-Nervous system,"/capita, US$ exchange rate",60.8
318,Australia,2015,6,N05C-Hypnotics and sedatives,"/capita, US$ exchange rate",0.8
319,Australia,2015,6,N05C-Hypnotics and sedatives,"Million US$, purchasing power parity",16.3
320,Australia,2015,6,N05C-Hypnotics and sedatives,% of total sales,0.2
321,Australia,2015,6,N05C-Hypnotics and sedatives,"/capita, US$ purchasing power parity",0.7
322,Australia,2015,6,A10-Drugs used in diabetes,"Million US$, purchasing power parity",418.7
323,Australia,2015,6,Total pharmaceutical sales,"/capita, US$ purchasing power parity",350.0
324,Australia,2015,6,N06A-Antidepressants,Million of national currency units,438.0
325,Australia,2015,6,Total pharmaceutical sales,"Million US$, purchasing power parity",8335.5
326,Australia,2015,6,Total pharmaceutical sales,"/capita, US$ exchange rate",387.5
327,Australia,2015,6,M01A-Antiinflammatory and antirheumatic products non-steroids,"Million US$, purchasing power parity",80.7
328,Australia,2015,6,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ exchange rate",3.8
329,Australia,2015,6,M01A-Antiinflammatory and antirheumatic products non-steroids,Million of national currency units,119.0
